,train_accuracy,test_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,CM,train_f1,test_f1,train_f2,test_f2,runtime,best_params
Logistic Regression,0.8067502986857825,0.8066825775656324,0.8082788671023965,0.8337078651685393,0.8207964601769911,0.8284948637784725,0.8746976584612747,0.8929589437583896,"[[305  88]
 [ 74 371]]",0.8184114510244176,0.8207964601769911,0.8191011235955056,0.8284948637784725,0.20406150817871094,"{'clf__C': 0.1, 'clf__penalty': 'l1'}"
XGBoost,0.8175029868578255,0.8042959427207638,0.8087912087912088,0.8269662921348314,0.8177777777777778,0.8232662192393736,0.8901077851159332,0.9103482376192803,"[[306  87]
 [ 77 368]]",0.8283225625175611,0.8177777777777778,0.8284622302158273,0.8232662192393736,31.467392206192017,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__subsample': 0.5}"
LightGBM,0.8175029868578255,0.8042959427207638,0.8087912087912088,0.8269662921348314,0.8177777777777778,0.8232662192393736,0.8904079823884268,0.9085565423756046,"[[306  87]
 [ 77 368]]",0.8283225625175611,0.8177777777777778,0.8284622302158273,0.8232662192393736,13.496781826019287,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 50, 'clf__subsample': 0.8}"
Decision Tree,0.8145161290322581,0.815035799522673,0.8310502283105022,0.8179775280898877,0.8244620611551529,0.8205590622182146,0.8816107727935502,0.8978740159252385,"[[319  74]
 [ 81 364]]",0.8216029876472278,0.8244620611551529,0.8108414606486731,0.8205590622182146,0.34741950035095215,"{'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_split': 2}"
CatBoost,0.8145161290322581,0.815035799522673,0.8310502283105022,0.8179775280898877,0.8244620611551529,0.8205590622182146,0.8757697915773223,0.901058574140111,"[[319  74]
 [ 81 364]]",0.8216029876472278,0.8244620611551529,0.8108414606486731,0.8205590622182146,9.91455888748169,"{'clf__depth': 3, 'clf__iterations': 50, 'clf__learning_rate': 0.01}"
Random Forest,0.8195937873357229,0.8174224343675418,0.8427230046948356,0.8067415730337079,0.8243398392652124,0.8136899365367181,0.8903422248906424,0.9061227210901768,"[[326  67]
 [ 86 359]]",0.822665883734586,0.8243398392652124,0.8012123984902207,0.8136899365367181,4.39837121963501,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
